Mandi,Traders,Coupons,Type
Lang,14,703,Purchase Centre
Langah,7,448,Sub Yard
Langheana,21,715,Purchase Centre
Lapoke,22,1482,Purchase Centre
Lasuri,18,850,Sub Yard
Latala,16,728,Purchase Centre
Leela,8,825,Purchase Centre
Lehra Bega,7,376,Purchase Centre
Lehragaga,132,3647,Main Yard
Lehragaga Rice Mills,3,50,Sheller/ Others
Lehri,5,434,Purchase Centre
Lelewala,9,612,Purchase Centre
Libra Rice Mill,1,60,Sheller/ Others
Lod rama agro Industry,1,94,Sheller/ Others
Lodhiwal,16,858,Sub Yard
Loha Khera,4,306,Purchase Centre
Loham,19,737,Purchase Centre
Lohatbadi,8,531,Purchase Centre
Lohgarh,16,1267,Sub Yard
Lohgarh,16,1267,Purchase Centre
LohiaKhas Indra Mandi,20,551,Main Yard
LohiaKhas Janta Mandi,35,781,Sheller/ Others
Lohke Kalan,7,523,Purchase Centre
Lohsimbli,6,239,Purchase Centre
Lopo,9,380,Purchase Centre
Lot,14,1064,Purchase Centre
Lovekush Foods,2,143,Sheller/ Others
Lovely Agro Industries,1,134,Sheller/ Others
Lovely Rice Mill,2,141,Sheller/ Others
Lubhaniya wali,19,1537,Sub Yard
Luhara,8,372,Purchase Centre
Lutki Majra,7,686,Purchase Centre
"M B Rice and General Mills, Burja road, Pind Malout",10,90,Sheller/ Others
M K trading,3,62,Sheller/ Others
M. J Industry,4,176,Sheller/ Others
"M. K Agro Industries, Tapa",2,40,Sheller/ Others
M. R rice mills,2,82,Sheller/ Others
M. S.K agro Fazilka,2,159,Sheller/ Others
M.B Rice mill,2,229,Sheller/ Others
M.L.Rice mill,1,190,Sheller/ Others
M.P Agro,1,93,Sheller/ Others
M.P. Rice Mill,2,144,Sheller/ Others
M.P.S. Rice Mills,1,74,Sheller/ Others
M.R. M.C Export,9,165,Sheller/ Others
M.R. Rice Mill,1,109,Sheller/ Others
M.S. Rice Mill,2,115,Sheller/ Others
M/S A-One rice mill village Shanker Tehsil Nakodar,1,74,Sheller/ Others
M/S A.V. and company,5,96,Sheller/ Others
M/S Agarwal foods,4,81,Sheller/ Others
"M/S Agarwal oversies, Kurali",1,144,Sheller/ Others
"M/S Ahuja agro foods pvt. Ltd. Kabarwala rode, Shri Mukatsar Sahib",2,100,Sheller/ Others
"M/S Baba Lakhmir Das Rice Mill, Malakpur",2,165,Sheller/ Others
M/S Baba Naga agro pvt. Ltd.,1,5,Sheller/ Others
M/S Bhagwati rice and janral mills village Sohal Khurd tehsil Nakodar,1,58,Sheller/ Others
M/S Bhole Shanker rice mill village Rasulpur Kalan Tehsil Nakodar,3,132,Sheller/ Others
"M/S Capital Agro Exports, pvt. Ltd.",5,75,Sheller/ Others
M/S Capital oversies pvt. Ltd.,1,5,Sheller/ Others
M/S Das Rice Mill,6,166,Sheller/ Others
"M/S Garg Agro food, Bhagapurana, (Gholiya kalan)",1,82,Sheller/ Others
"M/S Garg Rice Mill, Bhagapurana,(Gholiya kalan)",1,111,Sheller/ Others
M/S Gupta foods,5,92,Sheller/ Others
M/S Guru Kirpa rice and genral mill,2,539,Sheller/ Others
M/S Hemkunt rice mills village Shanker Tehsil Nakodar,1,74,Sheller/ Others
M/S Kharar rice mills Tripari,2,158,Sheller/ Others
M/S Krishna Exports,7,75,Sheller/ Others
M/S Kumar agro industries,8,112,Sheller/ Others
M/S Mahadev rice mills village Rasulpur kalan tehsil Nakodar,2,74,Sheller/ Others
M/S Modern foods,4,74,Sheller/ Others
M/S Quality oversies pvt. Ltd.,4,94,Sheller/ Others
"M/S Radhe Traders, Alipur road, Patiala",1,204,Sheller/ Others
"M/S Rajiana Rice Mill, Bhagapurana (Gholiya kalan)",2,113,Sheller/ Others
"M/S Shari Ganesh Rice Mill, Dharmkot",3,122,Sheller/ Others
M/S Shri Durga Rice Mill,4,77,Sheller/ Others
M/S Solitair foods,4,73,Sheller/ Others
M/S Taneja oversies,4,236,Sheller/ Others
M/s,3,64,Sheller/ Others
"M/s A.k. Agro Industries, Badni kalan",1,57,Sheller/ Others
"M/s Aarya Rice Mills, Gehri",4,50,Sheller/ Others
M/s Agarwal Rice Mill,2,72,Sheller/ Others
"M/s Agarwal Rice Mill, Jaswali",2,55,Sheller/ Others
"M/s Agarwal Trading company, Badni kalan",1,20,Sheller/ Others
"M/s Agarwal rice Mills, Dharmkot",1,80,Sheller/ Others
M/s Ajit Rice and General Mills,1,93,Sheller/ Others
M/s Aman Rice and General Mills,1,84,Sheller/ Others
M/s Anpurna Agro foods Ajitwal,2,53,Sheller/ Others
"M/s Arora Rice Mill, Rayian",4,241,Sheller/ Others
M/s Asa Agro Industries Sathiala,3,184,Sheller/ Others
"M/s B. N. rice mills, Bakapur",1,35,Sheller/ Others
"M/s B.S. Rice Mill, Mehta",7,255,Sheller/ Others
"M/s Bajrang Agro Foods, Nihal Singh Wala",1,160,Sheller/ Others
"M/s Banwaint rice Gram Udyog Samti, Bela",1,134,Sheller/ Others
"M/s Chardi kala rice mills, Balrampur road, Bela",1,78,Sheller/ Others
"M/s Chawla rice and General mill, Pind Kayinor",2,133,Sheller/ Others
"M/s Chirag rice mills, Garcha",2,84,Sheller/ Others
M/s D.S. Rice Mills,5,82,Sheller/ Others
"M/s D.S. Rice Mills, Garcha",2,84,Sheller/ Others
M/s Darsti Agro Rice Mills,1,87,Sheller/ Others
M/s Darsti Rice Mills,1,68,Sheller/ Others
M/s Dhaliwal Agro Foods,1,85,Sheller/ Others
M/s Dhaliwal Agro Foods,1,85,Sheller/ Others
"M/s Dhillon rice and general mill, Shri chamkaur Sahib",1,124,Sheller/ Others
M/s Dinesh Agro Foods,1,35,Sheller/ Others
M/s Ekam Agro Ind.,1,74,Sheller/ Others
M/s G.M. Rice and General Mill,2,102,Sheller/ Others
M/s G.S. Rice Mill,1,67,Sheller/ Others
"M/s G.k. Agro Foods, Bagha Purana",1,67,Sheller/ Others
M/s Ganga Foods,2,69,Sheller/ Others
M/s Garg Rice Mill,1,25,Sheller/ Others
M/s Garg Rice Mill Dharmkot,2,105,Sheller/ Others
"M/s Gobind rice and Gen. mill, Pind Dehar",2,140,Sheller/ Others
"M/s Goel rice and genral mill, Pind Jatana",2,126,Sheller/ Others
M/s Golden Rice Mill,2,68,Sheller/ Others
"M/s Golden Rice and General Mills, Jandiala",1,253,Sheller/ Others
M/s Gopal Rice Mill Unit-2,1,60,Sheller/ Others
"M/s Gurdev Foods, Kot ise Khan",1,92,Sheller/ Others
"M/s Guru Nanak Rice Mill, Badni Kalan",1,45,Sheller/ Others
"M/s Guru nanak rice and Gen. mill, Shri chamkaur Sahib",3,166,Sheller/ Others
M/s H.S. Gill Rice Mill,1,25,Sheller/ Others
M/s Hare Rama Agro Foods,1,130,Sheller/ Others
M/s Hari Om Agro Foods,3,140,Sheller/ Others
M/s Harnam Murari Rice Mills,2,148,Sheller/ Others
"M/s Harsha Foods, Nawasehar",2,50,Sheller/ Others
M/s Hem Raj Agro Foods,1,99,Sheller/ Others
"M/s J.B.Agro Tech, Dharmkot",1,80,Sheller/ Others
M/s J.M.G. Rice Mill,5,167,Sheller/ Others
M/s J.P.S. Rice Mill,2,118,Sheller/ Others
M/s Jai Lakshmi Rice Mill,2,82,Sheller/ Others
M/s Jyot Agro Tekk,2,168,Sheller/ Others
M/s K.S. Agro Foods Bagha Purana,1,45,Sheller/ Others
"M/s Kalsi Rice Mill, Dharmkot",1,80,Sheller/ Others
M/s Karan Agro Foods,1,80,Sheller/ Others
M/s Keshav Rice Mills,1,81,Sheller/ Others
"M/s Kisan rice gram udyog samti, Shri chamkaur Sahib",3,213,Sheller/ Others
"M/s Krishna Rice Mills, Dharmkot",1,135,Sheller/ Others
"M/s Krishna Rice Mills, Kot ise Khan",1,87,Sheller/ Others
"M/s Kundan rice mills, Garcha",1,85,Sheller/ Others
M/s Lakshmi Agro Ind.,1,65,Sheller/ Others
M/s Lakshmi Agro Tech. Lande,1,55,Sheller/ Others
"M/s Lakshmi Rice mills, Rahon",1,147,Sheller/ Others
M/s Madan Lal Agro Foods,1,106,Sheller/ Others
M/s Maha Lakshmi Agro Industries,4,40,Sheller/ Others
M/s Mahadev Rice Mills,1,65,Sheller/ Others
"M/s Mahal rice Mils, Kataria",1,55,Sheller/ Others
"M/s Mahavir rice mills, Rahon",3,70,Sheller/ Others
M/s Mahesh Agro foods,1,77,Sheller/ Others
"M/s Malhotra Rice Mill, Rayian",5,446,Sheller/ Others
"M/s Malwa rice Mills, Dharmkot",1,80,Sheller/ Others
"M/s Malwa rice and Gen. mills, Shri chamkaur Sahib",1,99,Sheller/ Others
"M/s Manohar rice and General mills, NawanSehar",3,164,Sheller/ Others
M/s Midas Agro Foods Private Limited,1,134,Sheller/ Others
M/s Midas Agro Foods Private Limited Unit-2,2,104,Sheller/ Others
M/s Midas Foods Private Limited,2,30,Sheller/ Others
M/s Midas Foods Private Limited unit-2,2,64,Sheller/ Others
"M/s Morinda rice and General mill, Pind Alowal",1,5,Sheller/ Others
"M/s Morinda rice and General mill, Pind Kanjla",2,163,Sheller/ Others
M/s Naresh Kumar and company,1,130,Sheller/ Others
M/s New Kisan Rice Mill,2,140,Sheller/ Others
"M/s New Shakti Rice Mill, Mehta",7,413,Sheller/ Others
M/s Nikka Singh Sons,1,80,Sheller/ Others
M/s Panj piri Rice and General Mills,1,108,Sheller/ Others
"M/s Prabh kirpa Rice Mills, Dharmkot",5,157,Sheller/ Others
M/s Punjab Agro foods,2,83,Sheller/ Others
"M/s Punjab rice mill, Shri chamkaur Sahib",3,213,Sheller/ Others
"M/s R.K. Kaliya Rice mill, Rayian",4,136,Sheller/ Others
M/s Raghunath Rice Mill,1,30,Sheller/ Others
M/s Rajesh Tradingh Company,1,110,Sheller/ Others
"M/s Rama rice and Gen. Mill, Shri chamkaur Sahib",2,149,Sheller/ Others
"M/s Ratan Singh and company, Morinda",4,283,Sheller/ Others
"M/s S.B. rice and Gen. Mills, Balrampur road, Bela",1,76,Sheller/ Others
M/s Sachkhand Agro foods,2,74,Sheller/ Others
M/s Sachkhand Agro foods,2,74,Sheller/ Others
M/s Sandeep Rice Mill,2,94,Sheller/ Others
"M/s Sandhu Brother Mills, Khambe",2,62,Sheller/ Others
"M/s Sandhu Brother Mills, Khambe",2,62,Sheller/ Others
"M/s Sandhu Brother Mills, Khambe",2,62,Sheller/ Others
"M/s Satgur rice mills, Khanpur",2,20,Sheller/ Others
M/s Satguru Agro Foods,1,30,Sheller/ Others
"M/s Satkartar agro Foods, Bagha Purana",1,61,Sheller/ Others
M/s Shiv Rice Mill,2,93,Sheller/ Others
M/s Shiv Shankar Rice Mill,1,25,Sheller/ Others
"M/s Shiva Agro Industries, Kathgarh",1,204,Sheller/ Others
"M/s Shivalik rice and General mill, Pind Tibba Tapria",1,50,Sheller/ Others
"M/s Shri Chander Rice Mill, Sukalgarh",1,180,Sheller/ Others
M/s Shri Ganesh Agro,1,80,Sheller/ Others
"M/s Shri Roop rice and General Mill, Ajitwal",1,60,Sheller/ Others
"M/s Sidhu Agro Industries, Pind Basi Gujran",1,30,Sheller/ Others
"M/s Simran Gram Udyog Samti, Pind Kalaran",4,218,Sheller/ Others
M/s Singla Agro Industries,1,62,Sheller/ Others
M/s Singla Sailz Corporation,1,55,Sheller/ Others
"M/s Soma rice mills, Bheen",3,197,Sheller/ Others
M/s Star Rice Mill,1,73,Sheller/ Others
M/s Sunrise Mills,1,50,Sheller/ Others
M/s Surya Agro Tech.,2,80,Sheller/ Others
M/s Swastik Agro foods,1,89,Sheller/ Others
"M/s Taj rice and General Mill, Pind  DhoomCheri",1,115,Sheller/ Others
M/s Trimula Export,1,30,Sheller/ Others
"M/s Ujjal Rice Mill, Shri Chamkaur Sahib",3,255,Sheller/ Others
M/s United Rice Mill,3,148,Sheller/ Others
"M/s United rice and General mill, Pind Dhoomcheri",4,150,Sheller/ Others
"M/s Wadwal rice mills, Behloor kalan",1,55,Sheller/ Others
"M/s jagdambe Rice mills, Rahon",1,80,Sheller/ Others
"M/s preet Rice Mills, Kot ise Kha",3,99,Sheller/ Others
M/s shri parkash Rice and General Mill,2,24,Sheller/ Others
MaChhike,10,713,Purchase Centre
Maa Bhagwati rice Industry,3,130,Sheller/ Others
"Maa Chintpurni Rice Mills, Maud",2,62,Sheller/ Others
Maa Durga Rice mill,2,104,Sheller/ Others
Maa Ganga Rice Mills,2,46,Sheller/ Others
"Maa Kalka traders, Logowal",1,40,Sheller/ Others
Maa Lakshami rice and janral mill Buraj Harika Kotakpura,8,350,Sheller/ Others
Maa Mansa Devi Rice Mills Goniana,2,129,Sheller/ Others
"Maa Vashno Devi rice Industries, Sahib Chand",2,150,Sheller/ Others
Maan Rice Mill,3,168,Sheller/ Others
Machaki Kalan,12,814,Sub Yard
Machaki Mal Singh,5,530,Purchase Centre
Machhiwara,83,2800,Main Yard
Machhraikala,2,232,Purchase Centre
Madan Gram udyog samty,4,257,Sheller/ Others
Madevi,3,252,Purchase Centre
Madhak,11,546,Purchase Centre
Madhav Agro foods,4,217,Sheller/ Others
Madhav Rice Mill,7,273,Sheller/ Others
Madhav Rice Mill,7,273,Sheller/ Others
Madhav Rice Mill,7,273,Sheller/ Others
Madhav rice oil,3,150,Sheller/ Others
Madhu Soodan Rice Mills,4,55,Sheller/ Others
Madi,7,488,Purchase Centre
Madwi Rice Mill,4,134,Sheller/ Others
Magar Sahib,3,404,Purchase Centre
Magnam place,1,5,Sheller/ Others
Maha Lakshmi,3,35,Sheller/ Others
Maha Lakshmi Rice Mill,4,292,Sheller/ Others
Maha Lakshmi Rice Mills,2,142,Sheller/ Others
Mahabadhar,21,1661,Purchase Centre
"Mahadev Industry, Malawala",3,85,Sheller/ Others
Mahadev Rice Mill,1,209,Sheller/ Others
Mahadev Rice Mill,1,209,Sheller/ Others
Mahadev Rice Mill,1,209,Sheller/ Others
"Mahadev Rice Mills, Talwandi Sabo",3,194,Sheller/ Others
Mahadev Rice mill,3,428,Sheller/ Others
Mahadev rice and janral,3,144,Sheller/ Others
Mahadev rice and janral,3,144,Sheller/ Others
Mahalakshmi Rice Pvt.ltd Goniana,2,134,Sheller/ Others
Mahalakshmi agro mill,1,80,Sheller/ Others
Mahalakshmi food agro,3,20,Sheller/ Others
Mahalam,16,456,Purchase Centre
Mahama Sarja,17,729,Sub Yard
Mahaprabhu agro mill,1,111,Sheller/ Others
Maharaj,15,1126,Sub Yard
MahatamNagar,19,576,Purchase Centre
Mahavir Rice Mill,3,204,Sheller/ Others
Mahavir Rice Mill,3,204,Sheller/ Others
Mahavir Rice Mill,3,204,Sheller/ Others
Mahavir Rice Mills,6,366,Sheller/ Others
Mahavir Rice Mills,6,366,Sheller/ Others
Mahavir Rice Mills  Natheha,1,184,Sheller/ Others
Mahavir Rice mill,2,95,Sheller/ Others
Mahavir gram Udyog Smiti Rice mill,2,150,Sheller/ Others
Mahavir rice and genral mill,4,175,Sheller/ Others
Maherna kalan,7,500,Purchase Centre
"Maheshvari Rice Mill,Raman",2,172,Sheller/ Others
Maheshvari Rice Mills,4,122,Sheller/ Others
Mahiduda (F.P.),14,984,Sub Yard
Mahil Gehla,5,465,Sub Yard
Mahilpur,16,1064,Sub Yard
Mahinangal,4,573,Purchase Centre
Mahindra Rice Mill,1,65,Sheller/ Others
Mahindra Rice Mill,1,65,Sheller/ Others
Mahla Kalan,29,809,Purchase Centre
Mahmadpur,11,414,Purchase Centre
Maholi Kalan,9,783,Purchase Centre
Mahuana,9,525,Sub Yard
Mahuana Bodla,11,685,Purchase Centre
Majheetha,61,2571,Main Yard
Majhi,8,498,Purchase Centre
Majhoke,9,404,Purchase Centre
Majhur,5,416,Purchase Centre
Makha,7,596,Purchase Centre
Makha chehla,3,297,Purchase Centre
Makhar Rice mill,1,230,Sheller/ Others
Makhar Rice mill,1,230,Sheller/ Others
Makhu,75,2343,Main Yard
Makror Sahib,7,1415,Purchase Centre
Malakpur,3,349,Purchase Centre
Malerkotla,75,2462,Main Yard
Malian Kalan,9,576,Purchase Centre
Maliawala,16,659,Purchase Centre
Malkana,17,1021,Sub Yard
Malko,12,932,Purchase Centre
Malla,18,699,Purchase Centre
Malla,18,699,Purchase Centre
Mallan,15,740,Purchase Centre
Mallanwala,3,558,Purchase Centre
Mallawala,67,2247,Main Yard
Malook pura,10,884,Purchase Centre
Maloud,25,1638,Main Yard
Malout,280,5970,Main Yard
Malsian,19,616,Sub Yard
Maluka,14,694,Sub Yard
Malva Agro foods Bhagta,2,168,Sheller/ Others
Malva Rice Mills,10,472,Sheller/ Others
Malwa Benipal Rice Mills,2,63,Sheller/ Others
Malwa Organic Foods,1,122,Sheller/ Others
Malwa Rice Mills Goniana,1,97,Sheller/ Others
"Malwa Rice and General mills, Burja road, Pind Malout",8,111,Sheller/ Others
Malwa agro Ind.,1,82,Sheller/ Others
Malwa agro Industry,1,129,Sheller/ Others
Malwa agro mill,1,67,Sheller/ Others
Malwa foods,3,58,Sheller/ Others
Malwal,4,618,Purchase Centre
Mamdot,48,2380,Main Yard
Mami Chakranga,3,103,Purchase Centre
Mamu Kheda,6,561,Purchase Centre
Man Bibriyan,18,756,Purchase Centre
Man Singh Wala,37,1394,Purchase Centre
Mana Singh Wala,6,400,Sub Yard
Manak Majra,8,425,Purchase Centre
Manakheri,11,452,Purchase Centre
Manal,5,320,Purchase Centre
Manava,16,689,Purchase Centre
Manawala,16,1461,Purchase Centre
Mand,5,222,Purchase Centre
Mandeep Rice Mill,1,118,Sheller/ Others
Mandi Fattenjung,2,59,Sub Yard
Mandi Gobindgarh,14,1146,Sub Yard
Mandi Kalan,9,901,Sub Yard
Mandi Rorawali,15,1097,Sub Yard
Mandir,11,298,Purchase Centre
Mandor Kalan,2,237,Purchase Centre
Mandor Khurd,7,251,Purchase Centre
Mandouli,6,541,Purchase Centre
Mandour,15,884,Purchase Centre
Mandvi,8,773,Sub Yard
Mangat cold store,1,94,Sheller/ Others
Mangat rice cotton Factory,1,145,Sheller/ Others
Mangewal,5,357,Purchase Centre
Manglarice Mills Maud,1,82,Sheller/ Others
Mani rice udyog samti,1,142,Sheller/ Others
Maniala Jai Singh,5,226,Purchase Centre
Maniana,26,644,Purchase Centre
Manjeet Rice Mill,1,27,Sheller/ Others
"Manjit rice Mills, Malwala road, jandwala Malout",4,39,Sheller/ Others
MankDheri,7,426,Purchase Centre
Mankpur,5,184,Purchase Centre
Manochahal,10,381,Purchase Centre
Manoj Agro foods,1,80,Sheller/ Others
Manoj Rice mill,2,224,Sheller/ Others
Mansa,136,4565,Main Yard
Mansa Khurd,5,301,Purchase Centre
Mansa kalan,3,239,Purchase Centre
Mansoora,8,408,Purchase Centre
Mansoorwal Kalan,2,206,Purchase Centre
Mansurpur,17,895,Sub Yard
Mansurpur,17,895,Purchase Centre
Manuke,30,2249,Sub Yard
Manuke,30,2249,Purchase Centre
Manv Enterprises,1,5,Sheller/ Others
Manv Rice Mill,3,161,Sheller/ Others
Manvi,22,1115,Sub Yard
Manwala,5,410,Purchase Centre
Mao Sahib,11,758,Purchase Centre
MarKhayi,6,346,Purchase Centre
Marada,8,660,Sub Yard
Mardaheri,13,575,Purchase Centre
Mardapur,17,557,Purchase Centre
Mari Mudtafa,23,1299,Sub Yard
MariBuchian,8,618,Sub Yard
MariMegha,30,1015,Sub Yard
Markfed,7,35,Sheller/ Others
Marouri,3,506,Purchase Centre
Maroya Rice Mill,3,263,Sheller/ Others
Maru,5,229,Purchase Centre
Masayian,2,351,Purchase Centre
Masigan,5,534,Sub Yard
Master ji Rice mill,5,97,Sheller/ Others
Mata Bhawani industries,1,89,Sheller/ Others
Mata Mayisar Khana,1,104,Sheller/ Others
Mata Vaishnu Rice Mills,2,45,Sheller/ Others
Mata ji Rice mill,2,45,Sheller/ Others
Matoyi,7,243,Purchase Centre
Matta,18,792,Purchase Centre
Mattevara,7,476,Purchase Centre
Matti,11,645,Purchase Centre
Maud,14,577,Purchase Centre
Maud Mandi,131,2321,Main Yard
Maud no Abad,5,323,Purchase Centre
Mavikalan,8,642,Purchase Centre
Maya Rice Mill,1,107,Sheller/ Others
Mayisar Khana,16,367,Purchase Centre
Meerankot (Focal Point),2,260,Sheller/ Others
Megharai,15,684,Purchase Centre
Meghowal,8,293,Purchase Centre
Mehalkalan,28,1051,Main Yard
Mehla Chowk,18,1245,Sub Yard
Mehla Rice Mill,1,119,Sheller/ Others
"Mehlan road, Set solars School",3,17,Sheller/ Others
"Mehlan road, kisan Ghee mill opposite Sibia Hospital",1,5,Sheller/ Others
Mehlanwali,7,122,Purchase Centre
Mehma,8,592,Purchase Centre
Mehmoodpur,17,713,Purchase Centre
Mehmunana,8,550,Purchase Centre
Mehna,9,501,Purchase Centre
Mehraj Wala,17,1066,Purchase Centre
Mehrajwala,12,501,Purchase Centre
Mehta,62,3624,Purchase Centre
Mehta,62,3624,Purchase Centre
Mehta,62,3624,Main Yard
Mehta Rice mill pakho ke,2,139,Sheller/ Others
"Mehta Rice mill, Gujar Katrala",1,142,Sheller/ Others
Mehtepur,63,2573,Main Yard
Meipur,5,444,Purchase Centre
Mess Agarwal Rice mill,1,14,Sheller/ Others
Mess Baba Shri chand rice mill Shekhpur,2,88,Sheller/ Others
Mess Baba Shri chand rice mill Shekhpur,2,88,Sheller/ Others
Mess Bharati Rice mill,2,195,Sheller/ Others
Mess Dogra Rice mill,2,50,Sheller/ Others
Mess Global Rice mill,1,71,Sheller/ Others
Mess Golden oversis,2,15,Sheller/ Others
Mess Goraya rice mill kalanaur,3,171,Sheller/ Others
Mess Guru Ramdas rice and janral mill,2,113,Sheller/ Others
Mess Janta rice mill Shri Hargobindpur,1,10,Sheller/ Others
Mess Jimidara Rice mill,2,102,Sheller/ Others
Mess Julka rice Marchant,2,54,Sheller/ Others
Mess Lovely Rice mill,2,131,Sheller/ Others
Mess Mhal rice Industry,1,70,Sheller/ Others
Mess New Guru nanak Rice mill,1,36,Sheller/ Others
Mess New Punjab Rice mill,1,9,Sheller/ Others
Mess Pwar rice and janral mill,1,106,Sheller/ Others
"Mess Rajan Rice mill, Gosal",1,77,Sheller/ Others
Mess Ram singh Rawel Singh Shri Hargobindpur,1,47,Sheller/ Others
Mess Rayal Rice mill,2,55,Sheller/ Others
Mess S. K. S Rice mill,1,84,Sheller/ Others
Mess S. P.Rice mill,4,68,Sheller/ Others
Mess S.S International,1,21,Sheller/ Others
Mess Saini Rice mill,1,96,Sheller/ Others
Mess Satguru Rice mill,2,36,Sheller/ Others
Mess Shanti Ind Sakhowal,1,10,Sheller/ Others
Mess Shiv Shakti Rice mill,2,131,Sheller/ Others
"Mess Shiv Shakti Rice mill, Gajnipur",1,63,Sheller/ Others
Mess Shiva Rice mill,2,303,Sheller/ Others
Mess Shri Guru nanak Rice mill,2,143,Sheller/ Others
Mess Shri Krishna rice industry Bathawal,1,35,Sheller/ Others
Mess Sukh Rice mill,2,66,Sheller/ Others
Mess Thakur Rice mill,3,180,Sheller/ Others
Mess Thakur Rice mill,3,180,Sheller/ Others
Mess Thakur Singh Gurbachan Singh Rice mill,1,113,Sheller/ Others
Mess veshno Rice mill,1,2,Sheller/ Others
Mess. Handa Rice mill,1,127,Sheller/ Others
Mial Kalan,6,486,Purchase Centre
Miani-10,1,82,Sheller/ Others
Miani-11,1,40,Sheller/ Others
Miani-12,1,40,Sheller/ Others
Miani-2,1,98,Sheller/ Others
Miani-3,1,98,Sheller/ Others
Miani-4,1,98,Sheller/ Others
Miani-5,1,98,Sheller/ Others
Miani-6,1,82,Sheller/ Others
Miani-7,1,82,Sheller/ Others
Miani-8,1,82,Sheller/ Others
Miani-9,1,82,Sheller/ Others
Midda,5,437,Sub Yard
Miglani rice and janral mills,2,91,Sheller/ Others
Mill Ladhuka,2,45,Sheller/ Others
Mill agro mill Unit-2,1,75,Sheller/ Others
Mimsa,13,580,Purchase Centre
Minia,13,872,Purchase Centre
Mirpur Jatan,9,308,Purchase Centre
Mirpur Kalan,10,399,Purchase Centre
Mithda,10,344,Sub Yard
Mithewal,7,593,Purchase Centre
Mithri Budhu Gir,6,415,Purchase Centre
Mittal Agro Foods,1,126,Sheller/ Others
Mittal Agro foods Bhagta,2,99,Sheller/ Others
Mittal Rice Mill,9,494,Sheller/ Others
Mittal Rice Mill,9,494,Sheller/ Others
Mittal Rice Mill,9,494,Sheller/ Others
Mittal Rice Mill,9,494,Sheller/ Others
Mittal Rice Mill,9,494,Sheller/ Others
Mittal agro mill,1,75,Sheller/ Others
Mittal rice and General Mills Bhagta,1,130,Sheller/ Others
Mittal rice and janral mill,2,107,Sheller/ Others
"Mittal rice mills, Husnar",1,105,Sheller/ Others
Miyan,18,1271,Purchase Centre
Miyanwind,6,379,Purchase Centre
Moad Maksooba,8,526,Purchase Centre
Moad Nabha,8,648,Purchase Centre
Moad Patiala,12,515,Purchase Centre
Moajgarh,16,943,Purchase Centre
Mode Rice mills,3,265,Sheller/ Others
Modern Agro Foods Siriyewala,1,55,Sheller/ Others
Modern Refectories,2,42,Sheller/ Others
Modern Rice Mills,6,394,Sheller/ Others
Modern Rice Mills Goniana,1,97,Sheller/ Others
Modern Rice mills,1,270,Sheller/ Others
Modern rice Mill Jhanduke,2,152,Sheller/ Others
Modern rice and janral mills,1,79,Sheller/ Others
Modren agro mill,1,111,Sheller/ Others
Moga,187,8260,Main Yard
Moga food pvt. Industry,4,85,Sheller/ Others
Mohal Rice Mills,2,95,Sheller/ Others
Mohan Lal Rice Mill,2,168,Sheller/ Others
Mohanpura,4,323,Sub Yard
Mohar Singh wala,11,476,Purchase Centre
Mohit Munish Rice Mills,2,53,Sheller/ Others
Mohit Rice Mills,1,50,Sheller/ Others
Mohran,4,333,Purchase Centre
Mojewal/sedewas,9,461,Purchase Centre
Mojo Khurd,5,319,Purchase Centre
Momi Rice Mill Dalla,2,147,Sheller/ Others
Momnabad,4,359,Purchase Centre
Moodhal,3,234,Purchase Centre
Moonak,61,2451,Main Yard
Moonm,13,415,Purchase Centre
Moosa,18,646,Purchase Centre
Moranwali,23,1244,Purchase Centre
Moranwali,23,1244,Purchase Centre
Morinda,40,2085,Main Yard
Moti rice and janral mill,3,45,Sheller/ Others
Mrar Farm Mrarkalan road  to baja Pind Mrarkalan,1,64,Sheller/ Others
Mrar kalan,19,752,Purchase Centre
"Mrar rice and general mills, Sarayenaga road, Mrar Kalan",10,251,Sheller/ Others
Mudki,23,933,Sub Yard
Mukand Singh Wala,8,518,Purchase Centre
Mukandpur,15,1071,Purchase Centre
Mukeriyan,13,914,Main Yard
Mukti Rice Mill,2,152,Sheller/ Others
Mulapur Dakha,34,1966,Sub Yard
Mullepur,16,698,Purchase Centre
Mulowal,12,740,Purchase Centre
Mumara,12,358,Purchase Centre
Mundapind,15,582,Purchase Centre
Muradwala,6,525,Purchase Centre
Murlidar Gas,1,48,Sheller/ Others
Mutneja Rice mill,1,152,Sheller/ Others
Muttada Khurd,7,797,Sub Yard
N D Industries,1,15,Sheller/ Others
N. S Rice Mills,3,143,Sheller/ Others
Nabha,122,3640,Main Yard
Nadala,41,2143,Sub Yard
Nadampur,10,817,Purchase Centre
Nadda Rice Mills Shahkot,2,77,Sheller/ Others
Nagra,11,630,Purchase Centre
Nagra rice and janral mill,1,107,Sheller/ Others
Nainewal,8,388,Purchase Centre
Nakodar,53,2373,Main Yard
Namdhari Rice Mill,4,65,Sheller/ Others
Namdhari Rice Mills Goniana,2,123,Sheller/ Others
Namo Rice Mill,6,57,Sheller/ Others
Namol,7,447,Purchase Centre
"Nanak foods, Bharoo",2,30,Sheller/ Others
Nanaksar Rice Mill,2,119,Sheller/ Others
"Nanal Rice mill, Rampura",1,97,Sheller/ Others
"Nand rice mill, Kaljharni",1,35,Sheller/ Others
